CLASS,REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN
,,,,,,,,,,,,,,,,,,,
BRICKFACE,140.000000,125.000000,9.000000,0.000000,0.000000,0.277778,0.062963,0.666667,0.311111,6.185185,7.333334,7.666667,3.555556,3.444444,4.444445,-7.888889,7.777778,0.545635,-1.121818
BRICKFACE,188.000000,133.000000,9.000000,0.000000,0.000000,0.333333,0.266667,0.500000,0.077778,6.666667,8.333334,7.777778,3.888889,5.000000,3.333333,-8.333333,8.444445,0.538580,-0.924817
BRICKFACE,105.000000,139.000000,9.000000,0.000000,0.000000,0.277778,0.107407,0.833333,0.522222,6.111111,7.555555,7.222222,3.555556,4.333334,3.333333,-7.666667,7.555555,0.532628,-0.965946
BRICKFACE,34.000000,137.000000,9.000000,0.000000,0.000000,0.500000,0.166667,1.111111,0.474074,5.851852,7.777778,6.444445,3.333333,5.777778,1.777778,-7.555555,7.777778,0.573633,-0.744272
BRICKFACE,39.000000,111.000000,9.000000,0.000000,0.000000,0.722222,0.374074,0.888889,0.429630,6.037037,7.000000,7.666667,3.444444,2.888889,4.888889,-7.777778,7.888889,0.562919,-1.175773
BRICKFACE,16.000000,128.000000,9.000000,0.000000,0.000000,0.500000,0.077778,0.666667,0.311111,5.555555,6.888889,6.666667,3.111111,4.000000,3.333333,-7.333334,7.111111,0.561508,-0.985811
BRICKFACE,26.000000,67.000000,9.000000,0.111111,0.000000,1.000000,0.888890,2.444445,3.185185,20.000000,19.555555,25.888890,14.555555,-1.333333,17.666666,-16.333334,25.888890,0.436939,-1.623202
BRICKFACE,14.000000,110.000000,9.000000,0.000000,0.000000,1.722222,5.351851,2.666667,1.022223,17.925926,18.888890,21.444445,13.444445,2.888889,10.555555,-13.444445,21.444445,0.368848,-1.345096
BRICKFACE,11.000000,108.000000,9.000000,0.000000,0.000000,1.333334,0.800000,1.388889,0.951852,17.666666,19.000000,21.111110,12.888889,4.000000,10.333333,-14.333333,21.111110,0.388756,-1.302133
BRICKFACE,85.000000,101.000000,9.000000,0.000000,0.000000,1.333333,1.288888,1.277778,1.218518,21.296297,21.222221,26.777779,15.888889,-0.222222,16.444445,-16.222221,26.777779,0.404792,-1.558599
BRICKFACE,18.000000,145.000000,9.000000,0.000000,0.000000,0.388889,0.018518,0.611111,0.374074,3.925926,5.555555,4.000000,2.222222,4.888889,0.222222,-5.111111,5.555555,0.600529,-0.570940
BRICKFACE,23.000000,55.000000,9.000000,0.000000,0.000000,2.222222,3.674073,1.777777,0.785185,23.444445,21.666666,31.111110,17.555555,-5.333334,23.000000,-17.666666,31.111110,0.435070,-1.771163
BRICKFACE,196.000000,129.000000,9.000000,0.000000,0.000000,0.833333,0.433333,0.666667,0.177778,6.333334,7.888889,7.333334,3.777778,4.666667,3.000000,-7.666667,8.222222,0.540123,-0.932783
BRICKFACE,80.000000,116.000000,9.000000,0.000000,0.000000,1.500000,1.633333,1.555556,0.874074,21.703703,21.222221,27.555555,16.333334,-1.444444,17.555555,-16.111110,27.555555,0.407364,-1.632243
BRICKFACE,2.000000,44.000000,9.000000,0.000000,0.000000,2.166667,2.388888,2.388890,1.529629,18.740740,17.333334,25.222221,13.666667,-4.222222,19.444445,-15.222222,25.222221,0.457681,-1.753726
BRICKFACE,120.000000,136.000000,9.000000,0.000000,0.000000,0.611111,0.418519,1.000000,0.444444,6.259259,7.777778,7.222222,3.777778,4.555555,2.888889,-7.444445,8.000000,0.529541,-0.924607
BRICKFACE,146.000000,124.000000,9.000000,0.000000,0.000000,0.500000,0.166667,0.388889,0.107407,6.037037,7.444445,7.333334,3.333333,4.222222,3.888889,-8.111111,7.666667,0.563492,-1.024730
BRICKFACE,23.000000,85.000000,9.000000,0.000000,0.000000,1.444445,1.051853,1.777778,0.962963,17.962963,18.888890,21.888890,13.111111,2.777778,11.777778,-14.555555,21.888890,0.399751,-1.386867
BRICKFACE,138.000000,116.000000,9.000000,0.000000,0.000000,0.611111,0.151852,0.444445,0.207407,6.481482,7.555555,8.222222,3.666667,3.222222,5.222222,-8.444445,8.333334,0.559171,-1.191070
BRICKFACE,229.000000,124.000000,9.000000,0.000000,0.000000,0.888889,0.074074,0.888889,0.340741,5.888889,7.111111,7.111111,3.444444,3.666667,3.666667,-7.333334,7.555555,0.545855,-1.037663
BRICKFACE,22.000000,116.000000,9.000000,0.000000,0.000000,0.388889,0.107407,0.333333,0.133333,5.629630,6.777778,7.000000,3.111111,3.444444,4.111111,-7.555555,7.333334,0.575397,-1.099624
BRICKFACE,121.000000,60.000000,9.000000,0.000000,0.000000,2.277778,2.329629,2.888889,2.874074,26.740740,24.666666,35.222220,20.333334,-6.222222,25.444445,-19.222221,35.222220,0.422300,-1.776113
BRICKFACE,33.000000,149.000000,9.000000,0.000000,0.000000,0.555556,0.251852,0.722222,0.151852,5.444445,4.111111,8.666667,3.555556,-4.000000,9.666667,-5.666667,8.666667,0.578339,-1.985703
BRICKFACE,80.000000,95.000000,9.000000,0.000000,0.000000,1.222222,1.007408,0.944444,0.551851,21.407408,21.333334,26.666666,16.222223,-0.222222,15.777778,-15.555555,26.666666,0.390436,-1.567327
BRICKFACE,96.000000,84.000000,9.000000,0.000000,0.000000,1.500000,1.277777,1.611111,2.285188,23.851852,23.555555,30.000000,18.000000,-0.888889,18.444445,-17.555555,30.000000,0.398791,-1.598867
BRICKFACE,145.000000,102.000000,9.000000,0.000000,0.000000,0.888889,0.607408,2.611111,1.485186,23.074074,22.111110,29.777779,17.333334,-2.888889,20.111110,-17.222221,29.777779,0.417763,-1.685440
BRICKFACE,18.000000,138.000000,9.000000,0.000000,0.000000,0.888889,0.562963,0.833333,0.300000,5.740741,7.333334,6.555555,3.333333,4.777778,2.444444,-7.222222,7.333334,0.543871,-0.862108
BRICKFACE,138.000000,133.000000,9.000000,0.000000,0.000000,0.666667,0.444444,1.166667,0.211111,6.444445,7.777778,7.888889,3.666667,4.000000,4.333334,-8.333333,8.222222,0.558201,-1.077660
BRICKFACE,121.000000,113.000000,9.000000,0.000000,0.000000,1.722222,1.529630,2.944444,1.529630,20.259260,20.000000,25.444445,15.333333,-0.777778,15.555555,-14.777778,25.444445,0.396589,-1.585609
BRICKFACE,95.000000,57.000000,9.000000,0.000000,0.000000,1.833333,3.411111,2.111111,1.718518,26.296297,24.666666,34.444447,19.777779,-4.888889,24.444445,-19.555555,34.444447,0.425691,-1.739017
SKY,140.000000,25.000000,9.000000,0.000000,0.000000,0.999999,1.466670,1.111111,0.118518,128.000000,117.777780,142.333340,123.888885,-30.666666,43.000000,-12.333333,142.333340,0.172504,-2.354552
SKY,142.000000,33.000000,9.000000,0.000000,0.000000,0.499999,0.623609,0.500001,0.349603,110.592590,96.777780,128.666670,106.333336,-41.444443,54.222220,-12.777778,128.666670,0.247776,-2.408019
SKY,66.000000,41.000000,9.000000,0.000000,0.000000,0.611112,0.327731,0.388892,0.327733,109.703705,95.111115,128.888890,105.111115,-43.777780,57.555557,-13.777778,128.888890,0.262046,-2.404745
SKY,165.000000,99.000000,9.000000,0.000000,0.000000,0.888891,0.474074,0.777779,0.474074,93.407410,79.000000,118.000000,83.222220,-43.222220,73.777780,-30.555555,118.000000,0.330418,-2.207757
SKY,228.000000,20.000000,9.000000,0.000000,0.000000,1.055555,0.490655,0.833333,0.752773,125.000000,114.000000,140.555560,120.444440,-33.000000,46.666668,-13.666667,140.555560,0.188892,-2.348006
SKY,124.000000,29.000000,9.000000,0.000000,0.000000,1.000001,0.711108,1.055553,0.907417,128.444440,119.222220,142.888890,123.222220,-27.666666,43.333332,-15.666667,142.888890,0.165616,-2.271128
SKY,156.000000,32.000000,9.000000,0.000000,0.000000,0.777774,0.162964,2.611110,1.040738,136.296300,129.777790,146.333340,132.777790,-19.555555,30.111110,-10.555555,146.333340,0.113055,-2.280755
SKY,21.000000,90.000000,9.000000,0.000000,0.000000,0.666668,0.044444,0.777779,0.562963,113.481480,105.888885,128.555560,106.000000,-22.777779,45.222220,-22.444445,128.555560,0.179697,-2.097815
SKY,8.000000,39.000000,9.000000,0.111111,0.000000,1.388891,1.129629,1.833333,0.699999,113.370370,102.555560,132.000000,105.555560,-32.444443,55.888890,-23.444445,132.000000,0.222954,-2.198158
SKY,122.000000,11.000000,9.000000,0.000000,0.000000,1.000000,0.311116,2.888891,5.051852,143.444440,136.888890,150.888890,142.555560,-19.666666,22.333334,-2.666667,150.888890,0.092773,-2.521648
SKY,44.000000,79.000000,9.000000,0.000000,0.000000,0.444444,0.344265,0.777779,0.403686,107.740740,93.888885,126.555560,102.777780,-41.555557,56.444443,-14.888889,126.555560,0.258079,-2.377965
SKY,7.000000,18.000000,9.000000,0.000000,0.000000,1.277779,0.729627,0.944445,0.374079,138.629620,133.333340,147.555560,135.000000,-15.888889,26.777779,-10.888889,147.555560,0.096352,-2.214612
SKY,188.000000,42.000000,9.000000,0.000000,0.000000,0.777779,0.544330,1.666668,1.264908,108.925930,95.666664,126.222220,104.888885,-39.777780,51.888890,-12.111111,126.222220,0.241934,-2.410388
SKY,152.000000,18.000000,9.000000,0.000000,0.000000,0.777777,0.455422,0.555557,0.272164,112.111115,97.222220,130.444440,108.666664,-44.666668,55.000000,-10.333333,130.444440,0.254668,-2.454980
SKY,120.000000,74.000000,9.000000,0.000000,0.000000,0.333335,0.088889,0.500001,0.077778,101.851850,89.111115,123.222220,93.222220,-38.222220,64.111115,-25.888890,123.222220,0.276784,-2.220553
SKY,143.000000,24.000000,9.000000,0.000000,0.000000,1.277777,0.907406,0.888888,1.140749,127.629630,117.666664,141.666670,123.555560,-29.888890,42.111110,-12.222222,141.666670,0.169397,-2.349252
SKY,181.000000,27.000000,9.000000,0.000000,0.000000,0.722221,0.462964,0.500000,0.255555,138.074080,132.555560,146.555560,135.111110,-16.555555,25.444445,-8.888889,146.555560,0.096263,-2.264532
SKY,107.000000,21.000000,9.000000,0.000000,0.000000,0.666662,0.516398,1.166667,0.408248,126.777780,115.777780,141.888890,122.666664,-33.000000,45.333332,-12.333333,141.888890,0.184022,-2.370372
SKY,226.000000,83.000000,9.000000,0.000000,0.000000,0.888889,0.518519,1.055552,0.507406,90.629630,74.555560,116.888885,80.444440,-48.222220,78.777780,-30.555555,116.888885,0.362062,-2.239053
SKY,93.000000,29.000000,9.000000,0.000000,0.000000,1.222224,1.229636,1.388891,1.574082,128.481480,119.000000,142.777770,123.666664,-28.444445,42.888890,-14.444445,142.777770,0.166484,-2.297761
SKY,60.000000,52.000000,9.000000,0.000000,0.000000,0.722223,0.596301,0.777777,0.740744,111.629630,101.000000,129.222230,104.666664,-31.888890,52.777780,-20.888890,129.222230,0.218379,-2.229685
SKY,179.000000,101.000000,9.000000,0.000000,0.000000,0.444448,0.385187,0.611109,0.329633,134.925920,126.444440,147.222230,131.111110,-25.444445,36.888890,-11.444445,147.222230,0.141107,-2.328735
SKY,112.000000,30.000000,9.000000,0.000000,0.000000,0.555557,0.272164,1.222223,0.720083,113.259260,100.777780,130.111110,108.888885,-37.444443,50.555557,-13.111111,130.111110,0.225384,-2.385308
SKY,103.000000,64.000000,9.000000,0.000000,0.000000,0.666667,0.699205,1.333331,0.918936,108.777780,96.333336,126.222220,103.777780,-37.333332,52.333332,-15.000000,126.222220,0.236797,-2.355443
SKY,174.000000,50.000000,9.000000,0.000000,0.000000,1.000001,0.760115,0.944445,0.952579,107.444440,94.666664,125.777780,101.888885,-38.333332,55.000000,-16.666666,125.777780,0.247337,-2.337296
SKY,80.000000,40.000000,9.000000,0.000000,0.000000,0.611111,0.574132,0.722223,0.772203,110.703705,96.222220,129.000000,106.888885,-43.444443,54.888890,-11.444445,129.000000,0.254051,-2.434692
SKY,67.000000,71.000000,9.000000,0.000000,0.000000,1.666667,0.888891,1.499999,0.299998,125.962960,115.555560,140.888890,121.444440,-31.222221,44.777780,-13.555555,140.888890,0.179672,-2.339758
SKY,92.000000,56.000000,9.000000,0.000000,0.000000,0.444443,0.029629,0.833333,0.566668,126.000000,115.888885,140.666670,121.444440,-30.333334,44.000000,-13.666667,140.666670,0.176061,-2.326783
SKY,67.000000,32.000000,9.000000,0.000000,0.000000,0.944444,1.062842,1.777779,1.310922,126.222220,115.111115,142.222230,121.333336,-33.333332,48.000000,-14.666667,142.222230,0.190625,-2.333746
SKY,125.000000,46.000000,9.000000,0.111111,0.000000,0.611109,0.611616,2.166668,0.781735,124.555560,112.777780,141.000000,119.888885,-35.333332,49.333332,-14.000000,141.000000,0.200124,-2.357688
FOLIAGE,101.000000,121.000000,9.000000,0.111111,0.000000,0.666667,0.843274,1.500000,0.888194,3.407408,1.111111,6.000000,3.111111,-6.888889,7.777778,-0.888889,6.000000,0.843519,-2.519165
FOLIAGE,21.000000,122.000000,9.000000,0.000000,0.000000,0.444444,0.403687,0.444444,0.403687,0.555556,0.000000,1.222222,0.444444,-1.666667,2.000000,-0.333333,1.222222,0.555556,-2.444563
FOLIAGE,45.000000,89.000000,9.000000,0.000000,0.000000,0.777778,0.340741,0.777778,0.474074,2.296296,0.111111,6.444445,0.333333,-6.555555,12.444445,-5.888889,6.444445,0.986111,-2.123905
FOLIAGE,18.000000,87.000000,9.000000,0.000000,0.000000,1.555556,1.962613,1.888889,1.746955,2.925926,1.222222,5.666667,1.888889,-5.111111,8.222222,-3.111111,5.666667,0.862771,-2.229493
FOLIAGE,52.000000,102.000000,9.000000,0.000000,0.000000,0.722222,0.507407,0.833333,0.566667,2.888889,0.666667,6.333334,1.666667,-6.666667,10.333333,-3.666667,6.333334,0.899735,-2.261720
FOLIAGE,54.000000,91.000000,9.000000,0.000000,0.000000,1.444444,1.540741,0.833333,0.255556,3.259259,0.555556,8.000000,1.222222,-8.111111,14.222222,-6.111111,8.000000,0.944811,-2.186723
FOLIAGE,80.000000,87.000000,9.000000,0.000000,0.111111,24.388891,572.996400,44.722225,1386.329200,67.444440,58.777780,79.000000,64.555560,-26.000000,34.666668,-8.666667,79.000000,0.306281,-2.422127
FOLIAGE,140.000000,124.000000,9.000000,0.000000,0.000000,1.000000,0.444445,1.111111,1.051852,2.518518,0.222222,6.111111,1.222222,-6.888889,10.777778,-3.888889,6.111111,0.973765,-2.267462
FOLIAGE,69.000000,139.000000,9.000000,0.000000,0.000000,2.833333,1.773259,2.111111,1.668887,18.074074,16.000000,22.555555,15.666667,-6.222222,13.444445,-7.222222,23.888890,0.386612,-1.702833
FOLIAGE,9.000000,80.000000,9.000000,0.000000,0.000000,2.944444,13.751853,16.666666,71.511100,23.629630,17.333334,31.666666,21.888890,-18.888890,24.111110,-5.222222,31.666666,0.514254,-2.431514
FOLIAGE,6.000000,81.000000,9.000000,0.000000,0.111111,4.111111,8.740745,5.722223,28.507410,12.481482,7.666667,18.888890,10.888889,-14.444445,19.222221,-4.777778,18.888890,0.628156,-2.388561
FOLIAGE,74.000000,129.000000,9.000000,0.000000,0.000000,0.222222,0.029630,0.111111,0.029630,0.518519,0.000000,1.555556,0.000000,-1.555556,3.111111,-1.555556,1.555556,1.000000,-2.094395
FOLIAGE,41.000000,75.000000,9.000000,0.000000,0.111111,15.388889,19.136257,26.611113,31.713590,55.000000,47.444443,65.444440,52.111110,-22.666666,31.333334,-8.666667,65.444440,0.297802,-2.356754
FOLIAGE,36.000000,145.000000,9.000000,0.000000,0.000000,0.277778,0.196296,1.277778,2.062963,0.851852,0.333333,1.444444,0.777778,-1.555556,1.777778,-0.222222,1.444444,0.251852,-2.530950
FOLIAGE,94.000000,144.000000,9.000000,0.000000,0.000000,0.444444,0.118518,0.500000,0.166667,1.148148,0.000000,3.444444,0.000000,-3.444444,6.888889,-3.444444,3.444444,1.000000,-2.094395
FOLIAGE,18.000000,90.000000,9.000000,0.000000,0.000000,1.055556,0.374074,0.666667,0.222222,2.814815,0.555556,6.888889,1.000000,-6.777778,12.222222,-5.444445,6.888889,0.926146,-2.164323
FOLIAGE,68.000000,103.000000,9.000000,0.000000,0.000000,0.666667,0.577778,1.111111,0.962963,2.148148,0.111111,5.666667,0.666667,-6.111111,10.555555,-4.444445,5.666667,0.987654,-2.185466
FOLIAGE,45.000000,108.000000,9.000000,0.000000,0.111111,25.500000,12.795401,27.277779,15.930981,49.814816,41.777780,61.111110,46.555557,-24.111110,33.888890,-9.777778,61.111110,0.358975,-2.360491
FOLIAGE,59.000000,99.000000,9.000000,0.000000,0.000000,0.777778,0.829630,1.000000,0.355556,2.037037,0.111111,5.555555,0.444444,-5.777778,10.555555,-4.777778,5.555555,0.986111,-2.149743
FOLIAGE,67.000000,136.000000,9.000000,0.000000,0.000000,6.722223,3.708349,2.666667,3.197221,15.518518,9.000000,25.333334,12.222222,-19.555555,29.444445,-9.888889,25.333334,0.660813,-2.307511
FOLIAGE,226.000000,110.000000,9.000000,0.000000,0.000000,0.333333,0.088889,0.500000,0.211111,1.666667,0.111111,4.444445,0.444444,-4.666667,8.333333,-3.666667,4.444445,0.977778,-2.155984
FOLIAGE,231.000000,124.000000,9.000000,0.000000,0.000000,3.444445,14.962965,1.833333,6.433335,3.000000,1.444444,5.888889,1.666667,-4.666667,8.666667,-4.000000,5.888889,0.895369,-2.118937
FOLIAGE,103.000000,125.000000,9.000000,0.000000,0.000000,0.944445,0.827759,0.833333,0.691215,1.777778,0.444444,3.888889,1.000000,-4.000000,6.333334,-2.333333,3.888889,0.923810,-2.237562
FOLIAGE,1.000000,81.000000,9.000000,0.000000,0.000000,12.166667,267.455540,9.222222,205.362960,21.333334,14.000000,30.555555,19.444445,-22.000000,27.666666,-5.666667,30.555555,0.595282,-2.438409
FOLIAGE,230.000000,124.000000,9.000000,0.000000,0.000000,0.277778,0.107407,0.277778,0.151852,0.666667,0.000000,2.000000,0.000000,-2.000000,4.000000,-2.000000,2.000000,1.000000,-2.094395
FOLIAGE,58.000000,109.000000,9.000000,0.000000,0.000000,0.888889,0.251852,2.833333,1.677777,4.296296,1.444444,8.444445,3.000000,-8.555555,12.444445,-3.888889,8.444445,0.864482,-2.283787
FOLIAGE,59.000000,120.000000,9.000000,0.000000,0.000000,2.166667,1.986063,1.444444,1.869839,19.074074,10.555555,33.111110,13.555555,-25.555555,42.111110,-16.555555,33.111110,0.681266,-2.231261
FOLIAGE,140.000000,125.000000,9.000000,0.000000,0.000000,0.666667,0.222222,2.666667,3.777778,3.925926,1.555556,7.777778,2.444444,-7.111111,11.555555,-4.444445,7.777778,0.853199,-2.234241
FOLIAGE,127.000000,143.000000,9.000000,0.000000,0.000000,1.500000,0.122222,0.888889,0.607407,4.185185,0.888889,9.444445,2.222222,-9.888889,15.777778,-5.888889,9.444445,0.915376,-2.257412
FOLIAGE,23.000000,129.000000,9.000000,0.000000,0.000000,0.500000,0.077778,0.388889,0.151852,0.518519,0.000000,1.555556,0.000000,-1.555556,3.111111,-1.555556,1.555556,0.777778,-2.094395
CEMENT,191.000000,119.000000,9.000000,0.000000,0.000000,1.111111,1.293862,0.944446,0.772202,39.851852,36.222220,48.222220,35.111110,-10.888889,25.111110,-14.222222,48.222220,0.271717,-2.006000
CEMENT,219.000000,80.000000,9.000000,0.000000,0.000000,1.277777,0.329630,0.666667,0.933332,39.703705,36.333336,48.222220,34.555557,-10.111111,25.555555,-15.444445,48.222220,0.282964,-1.962646
CEMENT,136.000000,45.000000,9.000000,0.000000,0.000000,1.222222,1.544406,2.055555,1.526313,53.074074,48.111110,63.777780,47.333332,-14.888889,32.111110,-17.222221,63.777780,0.259367,-2.045905
CEMENT,66.000000,160.000000,9.000000,0.000000,0.000000,3.000001,4.044447,2.777778,0.429630,22.851852,18.222221,31.555555,18.777779,-13.888889,26.111110,-12.222222,31.555555,0.426014,-2.138726
CEMENT,190.000000,105.000000,9.000000,0.000000,0.000000,1.888889,2.296298,2.166666,1.677780,45.740740,41.222220,56.333332,39.666668,-13.555555,31.777779,-18.222221,56.333332,0.295992,-1.996082
CEMENT,37.000000,78.000000,9.000000,0.000000,0.000000,1.000001,0.177777,2.555557,2.874073,43.814816,41.111110,51.888890,38.444443,-8.111111,24.222221,-16.111110,51.888890,0.258916,-1.886072
CEMENT,198.000000,127.000000,9.000000,0.000000,0.000000,2.444444,4.385187,8.555555,59.540750,40.740740,38.000000,48.222220,36.000000,-8.222222,22.444445,-14.222222,48.222220,0.248999,-1.908348
CEMENT,191.000000,101.000000,9.000000,0.000000,0.000000,1.111112,0.779364,1.111111,1.186342,45.037037,39.000000,57.111110,39.000000,-18.111110,36.222220,-18.111110,57.111110,0.322733,-2.094303
CEMENT,243.000000,120.000000,9.000000,0.000000,0.000000,4.444445,4.359749,1.555555,1.833839,47.851852,44.777780,56.333332,42.444443,-9.222222,25.444445,-16.222221,56.333332,0.245321,-1.910735
CEMENT,230.000000,117.000000,9.000000,0.000000,0.000000,3.277779,0.928958,1.444443,0.860663,39.037037,33.555557,49.777780,33.777780,-16.444445,32.222220,-15.777778,49.777780,0.335026,-2.106235
CEMENT,151.000000,89.000000,9.000000,0.000000,0.000000,8.388889,4.577317,0.722222,0.389682,31.703703,27.333334,41.000000,26.777779,-13.111111,27.888890,-14.777778,41.000000,0.351273,-2.046542
CEMENT,176.000000,100.000000,9.000000,0.000000,0.000000,1.944444,0.774075,1.444445,0.651851,55.370370,50.333332,66.888890,48.888890,-15.111111,34.555557,-19.444445,66.888890,0.268621,-2.006190
CEMENT,118.000000,126.000000,9.000000,0.000000,0.000000,0.666667,0.400000,1.833334,2.122222,20.555555,16.111110,28.666666,16.888890,-13.333333,24.333334,-11.000000,28.666666,0.437078,-2.158805
